1	1174	en	Der Klassiker	The classic	NICHT_GLEICH
1	1174	fr	Der Klassiker	Le classique	NICHT_GLEICH
1	1174	it	Der Klassiker	Il classico	NICHT_GLEICH
1	1174	tr	Der Klassiker	Klasik	NICHT_GLEICH
1	1174	ja	Der Klassiker	クラシック	NICHT_GLEICH
1	1174	cs	Der Klassiker	Klasický	NICHT_GLEICH
1	1174	ru	Der Klassiker	Классика	NICHT_GLEICH
1	1174	es	Der Klassiker	El clásico	NICHT_GLEICH
1	1174	nl	Der Klassiker	De klassieker	NICHT_GLEICH
1	1174	pl	Der Klassiker	Klasyk	NICHT_GLEICH
1	1276	en	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	AUCTION - VEHICLES     Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	fr	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	ENCHÈRES - VÉHICULES     Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	it	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	ASTA - VEICOLI     Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	tr	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	AUKSİYON - ARAÇLAR Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	ja	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	オークション - 車両\n\nメルセデス・ベンツ 190b W 121	NICHT_GLEICH
1	1276	cs	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	AUKCE - VOZIDLA     Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	ru	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	АУКЦИОН - ТРАНСПОРТНЫЕ СРЕДСТВА Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	es	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	SUBASTA - VEHÍCULOS     Mercedes Benz 190b W 121	NICHT_GLEICH
1	1276	nl	AUKTION - FAHRZEUGE     Mercedes Benz 190b W 121	VEILING - VOERTUIGEN     Mercedes Benz 190b W 121	NICHT_GLEICH
